index,form,posTag,nerLabel,Sentence #
4,của,E,O,51
4,nhà,N,O,51
4,cầm_quân,V,O,51
4,này,P,O,51
4,",",CH,O,51
4,với,E,O,51
4,việc,N,O,51
4,bị,V,O,51
4,LĐBĐ,Ny,B-ORG,51
4,Tây_Ban_Nha,Np,I-ORG,51
4,sa_thải,V,O,51
4,ngay,R,O,51
4,trước,E,O,51
4,trận,N,O,51
4,khai,V,O,51
4,màn,N,O,51
4,World_Cup,N,O,51
4,2018,M,O,51
4,",",CH,O,51
4,rồi,C,O,51
4,nhận,V,O,51
4,cái,Nc,O,51
4,kết,N,O,51
4,đắng,A,O,51
4,tiếp_theo,V,O,51
4,từ,E,O,51
4,Real_Madrid,Np,B-ORG,51
4,…,CH,O,51
5,Có_lẽ,X,O,52
5,vì_thế,C,O,52
5,",",CH,O,52
5,vị,N,O,52
5,thuyền_trưởng,N,O,52
5,Sevilla,Np,B-ORG,52
5,đã,R,O,52
5,không,R,O,52
5,ngăn,V,O,52
5,được,R,O,52
5,nước_mắt,N,O,52
5,trong,E,O,52
5,ngày,N,O,52
5,vui,A,O,52
5,.,CH,O,52
6,Chiến_lược_gia,N,O,53
6,người,N,B-MISC,53
6,Tây_Ban_Nha,Np,I-MISC,53
6,được,V,O,53
6,học_trò,N,O,53
6,tung,V,O,53
6,lên,R,O,53
6,ăn_mừng,V,O,53
6,Lopetegui,Np,B-PER,53
6,nói,V,O,53
6,trong,E,O,53
6,xúc_động,N,O,53
6,:,CH,O,53
6,“,Nc,O,53
6,Luôn_luôn,Np,O,53
6,là,V,O,53
6,điều,N,O,53
6,thật,R,O,53
6,đặc_biệt,A,O,53
6,khi,N,O,53
6,giành,V,O,53
6,được,R,O,53
6,1,M,O,53
6,chiếc,Nc,O,53
6,cúp,N,O,53
6,.,CH,O,53
7,Trong,E,O,54
7,thời_điểm,N,O,54
7,này,P,O,54
7,đối_với,E,O,54
7,tất_cả,P,O,54
7,thành_viên,N,O,54
7,CLB,Ny,B-ORG,54
7,Sevilla,Np,I-ORG,54
7,",",CH,O,54
7,với,E,O,54
7,bản_thân,N,O,54
7,tôi,P,O,54
7,",",CH,O,54
7,với,E,O,54
7,người,N,O,54
7,hâm_mộ,V,O,54
7,",",CH,O,54
7,danh_hiệu,N,O,54
7,này,P,O,54
7,thật,R,O,54
7,đặc_biệt,A,O,54
7,.,CH,O,54
8,Các,L,O,55
8,cầu_thủ,N,O,55
8,của,E,O,55
8,tôi,P,O,55
8,rất,R,O,55
8,tuyệt_vời,A,O,55
8,.,CH,O,55
9,Họ,P,O,56
9,làm_việc,V,O,56
9,và,Cc,O,56
9,chiến_đấu,V,O,56
9,hết_mình,X,O,56
9,với,E,O,56
9,niềm,Nc,O,56
9,tin,V,O,56
9,và,Cc,O,56
9,khát_khao,V,O,56
9,cháy,V,O,56
9,bóng,N,O,56
9,.,CH,O,56
10,Chúng_tôi,P,O,57
10,vô_cùng,R,O,57
10,hạnh_phúc,A,O,57
10,vì,E,O,57
10,chúng_tôi,P,O,57
10,đã,R,O,57
10,làm_việc,V,O,57
10,chăm_chỉ,A,O,57
10,và,Cc,O,57
10,gặt,V,O,57
10,một,M,O,57
10,cái,Nc,O,57
10,kết,N,O,57
10,có_hậu,A,O,57
10,”,CH,O,57
10,.,CH,O,57
11,Ông,N,O,58
11,cũng,R,O,58
11,dành,V,O,58
11,lời,N,O,58
11,khen,V,O,58
11,cho,E,O,58
11,người_hùng,N,O,58
11,De_Jong,Np,B-PER,58
11,",",CH,O,58
11,cựu,Z,O,58
11,cầu_thủ,N,O,58
11,Newcaslte,Np,B-PER,58
11,:,CH,O,58
11,“,Nc,O,58
11,De_Jong,Np,O,58
11,rất,R,O,58
11,tài_giỏi,A,O,58
11,.,CH,O,58
12,Cậu,N,O,59
12,ấy,P,O,59
12,chờ_đợi,V,O,59
12,và,Cc,O,59
12,luôn,R,O,59
12,sẵn_sàng,A,O,59
12,đúng,A,O,59
12,thời_điểm,N,O,59
12,”,CH,O,59
12,.,CH,O,59
13,L.H,Np,B-PER,60
14,Bộ,N,O,61
14,trang_phục,N,O,61
14,theo,V,O,61
14,chân,N,O,61
14,Bác,Np,O,61
14,Trong,E,O,61
14,chuyên_đề,N,O,61
14,trưng_bày,V,O,61
14,lần,N,O,61
14,này,P,O,61
14,",",CH,O,61
14,ấn_tượng,N,O,61
14,với,E,O,61
14,công_chúng,N,O,61
14,là,V,O,61
14,bộ,Nc,O,61
14,quần_áo,N,O,61
14,kaki,Nb,O,61
14,được,V,O,61
14,xếp,V,O,61
14,trong,E,O,61
14,phần,N,O,61
14,nội_dung,N,O,61
14,“,CH,O,61
14,Sức_mạnh,N,O,61
14,dân_tộc,N,O,61
14,”,CH,O,61
14,.,CH,O,61
15,Theo,V,O,62
15,chú_thích,N,O,62
15,bên,N,O,62
15,dưới,N,O,62
15,",",CH,O,62
15,đây,P,O,62
15,là,V,O,62
15,một,M,O,62
15,trong,E,O,62
15,những,L,O,62
15,bộ,Nc,O,62
15,quần_áo,N,O,62
15,Chủ_tịch,N,O,62
15,Hồ_Chí_Minh,Np,B-PER,62
15,đã,R,O,62
15,mặc,V,O,62
15,trong,E,O,62
15,những,L,O,62
15,ngày,N,O,62
15,Cách_mạng_Tháng_Tám,Np,O,62
15,1945,M,O,62
15,.,CH,O,62
16,Nhưng,C,O,63
16,để,E,O,63
16,sưu_tầm,V,O,63
16,",",CH,O,63
16,lưu_giữ,V,O,63
16,được,V,O,63
16,câu_chuyện,N,O,63
16,",",CH,O,63
16,hoàn_cảnh,N,O,63
16,xuất_hiện,V,O,63
16,của,E,O,63
16,bộ,N,O,63
16,trang_phục,N,O,63
16,",",CH,O,63
16,lại,R,O,63
16,là,V,O,63
16,cả,T,O,63
16,một,M,O,63
16,quá_trình,N,O,63
16,dày,A,O,63
16,công,N,O,63
16,tìm_hiểu,V,O,63
16,.,CH,O,63
17,Công_chúng,N,O,64
17,tham_quan,V,O,64
17,trưng_bày,V,O,64
17,chuyên_đề,N,O,64
17,',CH,O,64
17,',CH,O,64
17,Ngày,N,O,64
17,độc_lập,N,O,64
17,9-Feb,M,O,64
17,',CH,O,64
17,',CH,O,64
17,Phó,N,O,64
17,Trưởng,N,O,64
17,phòng,N,O,64
17,Trưng_bày,Np,O,64
17,Bảo_tàng,N,B-ORG,64
17,Lịch_sử,N,I-ORG,64
17,Quốc_gia,Np,I-ORG,64
17,–,CH,O,64
17,Trần_Thu_Hà,Np,B-PER,64
17,cho,V,O,64
17,biết,V,O,64
17,:,CH,O,64
17,Năm,N,O,64
17,1958,M,O,64
17,",",CH,O,64
17,trong,E,O,64
17,thời_gian,N,O,64
17,xây_dựng,V,O,64
17,Bảo_tàng,N,B-ORG,64
17,Cách_mạng,N,I-ORG,64
17,Việt_Nam,Np,I-ORG,64
17,(,CH,O,64
17,nay,P,O,64
17,là,V,O,64
17,Bảo_tàng,N,O,64
17,Lịch_sử,N,O,64
17,quốc_gia,N,O,64
17,),CH,O,64
17,",",CH,O,64
17,Bảo_tàng,N,O,64
17,đã,R,O,64
17,tiếp_nhận,V,O,64
17,một,M,O,64
17,bộ,Nc,O,64
17,quần_áo,N,O,64
17,kaki,Nb,O,64
17,màu,N,O,64
17,vàng,A,O,64
17,nhạt,A,O,64
17,",",CH,O,64
17,trên,E,O,64
17,cổ,N,O,64
17,áo,N,O,64
17,đã,R,O,64
17,có,V,O,64
17,chỗ,N,O,64
17,bị,V,O,64
17,sờn,N,O,64
17,của,E,O,64
17,Chủ_tịch,N,O,64
17,Hồ_Chí_Minh,Np,B-PER,64
17,.,CH,O,64
18,Bộ,N,O,65
18,quần_áo,N,O,65
18,kaki,Nb,O,65
18,này,P,O,65
18,đã,R,O,65
18,gắn_bó,V,O,65
18,với,E,O,65
18,Bác,Np,O,65
18,trong,E,O,65
18,suốt,A,O,65
18,thời_gian,N,O,65
18,dài,A,O,65
18,",",CH,O,65
18,từ,E,O,65
18,sau,N,O,65
18,khi,N,O,65
18,Cách_mạng_tháng_Tám,Np,O,65
18,thành_công,V,O,65
18,",",CH,O,65
18,Bác,Np,O,65
18,đã,R,O,65
18,mặc,V,O,65
18,trong,E,O,65
18,các,L,O,65
18,sự_kiện,N,O,65
18,quan_trọng,A,O,65
18,như,C,O,65
18,Lễ,Np,O,65
18,ra_mắt,V,O,65
18,Chính_phủ,N,O,65
18,Lâm_thời,N,O,65
18,nước,N,O,65
18,Việt_Nam,Np,O,65
18,Dân_chủ,Np,O,65
18,Cộng_hoà,Np,O,65
18,với,E,O,65
18,quốc_dân,N,O,65
18,",",CH,O,65
18,ngày,N,O,65
18,3/9/45,M,O,65
18,;,CH,O,65
18,chủ_trì,V,O,65
18,các,L,O,65
18,cuộc,N,O,65
18,họp,V,O,65
18,của,E,O,65
18,Chính_phủ,N,O,65
18,",",CH,O,65
18,của,E,O,65
18,quốc_hội,N,O,65
18,…,CH,O,65
18,đặc_biệt,A,O,65
18,là,T,O,65
18,những,L,O,65
18,cuộc,Nc,O,65
18,gặp_gỡ,V,O,65
18,",",CH,O,65
18,nói_chuyện,V,O,65
18,với,E,O,65
18,đồng_bào,N,O,65
18,Việt_Nam,Np,B-LOC,65
18,cũng,R,O,65
18,như,C,O,65
18,Việt_kiều,Np,O,65
18,ở,E,O,65
18,nước_ngoài,N,O,65
18,.,CH,O,65
19,Đến,E,O,66
19,năm,N,O,66
19,2008,M,O,66
19,",",CH,O,66
19,cán_bộ,N,O,66
19,của,E,O,66
19,Bảo_tàng,N,O,66
19,đã,R,O,66
19,đến,V,O,66
19,gặp,V,O,66
19,bà,Nc,O,66
19,Hoàng_Thị_Minh_Hồ,Np,B-PER,66
19,-,CH,O,66
19,vợ,N,O,66
19,của,E,O,66
19,nhà,N,O,66
19,tư_sản,N,O,66
19,yêu,V,O,66
19,nước,N,O,66
19,Trịnh_Văn_Bô,Np,B-PER,66
19,để,E,O,66
19,xác_minh,V,O,66
19,ngọn_nguồn,N,O,66
19,của,E,O,66
19,hiện_vật,N,O,66
19,.,CH,O,66
20,Ngày,N,O,67
20,24/8/1945,M,O,67
20,Chủ_tịch,N,O,67
20,Hồ_Chí_Minh,Np,B-PER,67
20,về,V,O,67
20,ở,V,O,67
20,tại,E,O,67
20,ngôi,Nc,O,67
20,nhà,N,O,67
20,48,M,O,67
20,Hàng,N,O,67
20,Ngang,Np,O,67
20,",",CH,O,67
20,Hà_Nội,Np,B-LOC,67
20,.,CH,O,67
21,Đây,P,O,68
21,là,V,O,68
21,ngôi,Nc,O,68
21,nhà,N,O,68
21,của,E,O,68
21,gia_đình,N,O,68
21,ông,Nc,O,68
21,Trịnh_Văn_Bô,Np,B-PER,68
21,nhưng,C,O,68
21,đã,R,O,68
21,được,V,O,68
21,sử_dụng,V,O,68
21,làm,V,O,68
21,cơ_sở,N,O,68
21,hoạt_động,V,O,68
21,cách_mạng,N,O,68
21,.,CH,O,68
22,Theo,E,O,69
22,lời,N,O,69
22,kể,V,O,69
22,của,E,O,69
22,bà,Nc,O,69
22,Hoàng_Thị_Minh_Hồ,Np,B-PER,69
22,",",CH,O,69
22,khi,N,O,69
22,Chủ_tịch,N,O,69
22,Hồ_Chí_Minh,Np,B-PER,69
22,và,Cc,O,69
22,các,L,O,69
22,đồng_chí,N,O,69
22,trong,E,O,69
22,ban,N,O,69
22,Thường_vụ,N,O,69
22,T.Ư,Ny,O,69
22,Đảng,Np,O,69
22,về,V,O,69
22,ở,E,O,69
22,tại,E,O,69
22,48,M,O,69
22,Hàng,N,O,69
22,Ngang,Np,O,69
22,",",CH,O,69
22,Bác,Np,O,69
22,chỉ,R,O,69
22,mặc,V,O,69
22,chiếc,Nc,O,69
22,áo,N,O,69
22,nâu,A,O,69
22,",",CH,O,69
22,quần,N,O,69
22,sóc,N,O,69
22,và,Cc,O,69
22,vai,N,O,69
22,đeo,V,O,69
22,một,M,O,69
22,chiếc,Nc,O,69
22,túi_dết,N,O,69
22,bạc_màu,A,O,69
22,.,CH,O,69
23,Vì,E,O,70
23,sắp,R,O,70
23,đến,E,O,70
23,ngày,N,O,70
23,ra_mắt,V,O,70
23,quốc_dân,N,O,70
23,đồng_bào,N,O,70
23,",",CH,O,70
23,nên,C,O,70
23,bà,Nc,O,70
23,Hoàng_Thị_Minh_Hồ,Np,B-PER,70
23,đã,R,O,70
23,đề_xuất,V,O,70
23,với,E,O,70
23,ông,Nc,O,70
23,Nguyễn_Lương_Bằng,Np,B-PER,70
23,:,CH,O,70
23,Mỗi,M,O,70
23,người,N,O,70
23,cần,V,O,70
23,có,V,O,70
23,bộ,Nc,O,70
23,quần_áo,N,O,70
23,trang_trọng,A,O,70
23,.,CH,O,70
24,Khi,N,O,71
24,đó,P,O,71
24,vì,E,O,71
24,vải,N,O,71
24,hiếm,A,O,71
24,",",CH,O,71
24,ông,Nc,O,71
24,Trịnh_Văn_Bô,Np,B-PER,71
24,lại,R,O,71
24,có,V,O,71
24,nhiều,A,O,71
24,bộ,N,O,71
24,quần_áo,N,O,71
24,đẹp,A,O,71
24,",",CH,O,71
24,may,A,O,71
24,chỉ,R,O,71
24,để,E,O,71
24,quảng_cáo,V,O,71
24,",",CH,O,71
24,chỉ,R,O,71
24,mặc,V,O,71
24,2-Jan,M,O,71
24,lần,N,O,71
24,nên,C,O,71
24,bà,Nc,O,71
24,Hồ,Np,B-PER,71
24,đã,R,O,71
24,nhờ,V,O,71
24,hiệu,N,O,71
24,may,A,O,71
24,sửa_chữa,V,O,71
24,",",CH,O,71
24,nhuộm,V,O,71
24,hấp,V,O,71
24,để,E,O,71
24,cắt,V,O,71
24,vừa,R,O,71
24,bộ,N,O,71
24,trang_phục,N,O,71
24,cho,E,O,71
24,đồng_chí,N,O,71
24,Phạm_Văn_Đồng,Np,B-PER,71
24,",",CH,O,71
24,Võ_Nguyên_Giáp,Np,B-PER,71
24,",",CH,O,71
24,Trường_Chinh,Np,B-PER,71
24,…,CH,O,71
25,Còn,C,O,72
25,bà,Nc,O,72
25,Hồ,Np,B-PER,72
25,may,V,O,72
25,cho,E,O,72
25,Bác,Np,O,72
25,2,M,O,72
25,bộ,N,O,72
25,quần_áo,N,O,72
25,hàng,N,O,72
25,kaki,Nb,O,72
25,.,CH,O,72
26,“,Nc,O,73
26,Bộ,Np,O,73
26,trang_phục,N,O,73
26,này,P,O,73
26,được,V,O,73
26,hiệu,N,O,73
26,may,V,O,73
26,Phúc_Hưng,Np,O,73
26,ở,E,O,73
26,phố,N,O,73
26,Hàng,Nc,O,73
26,Trống,Np,O,73
26,–,CH,O,73
26,một,M,O,73
26,hiệu,N,O,73
26,may,V,O,73
26,tốt,A,O,73
26,",",CH,O,73
26,có,V,O,73
26,quen_biết,V,O,73
26,với,E,O,73
26,nhà,N,O,73
26,tôi,P,O,73
26,may_đo,V,O,73
26,.,CH,O,73
27,Đến,E,O,74
27,tối_ngày,N,O,74
27,1/9/45,M,O,74
27,mới,R,O,74
27,đủ,A,O,74
27,quần_áo,N,O,74
27,cho,E,O,74
27,các,L,O,74
27,đồng_chí,N,O,74
27,”,CH,O,74
27,–,CH,O,74
27,bà,Nc,O,74
27,Hoàng_Thị_Minh_Hồ,Np,B-PER,74
27,tâm_sự,V,O,74
27,với,E,O,74
27,cán_bộ,N,O,74
27,Bảo_tàng,N,O,74
27,.,CH,O,74
28,Bộ,N,O,75
28,quần_áo,N,O,75
28,kaki,Nb,O,75
28,Bác_Hồ,Np,O,75
28,mặc,V,O,75
28,trong,E,O,75
28,các,L,O,75
28,sự_kiện,N,O,75
28,quan_trọng,A,O,75
28,sau,E,O,75
28,Cách_mạng_Tháng_Tám,Np,O,75
28,1945,M,O,75
28,.,CH,O,75
29,Kỷ_niệm,N,O,76
29,ùa,V,O,76
29,về,R,O,76
29,cùng,A,O,76
29,cảm_xúc,N,O,76
29,thiêng_liêng,A,O,76
29,Trưng_bày,Np,O,76
29,"""",CH,O,76
29,Ngày,N,O,76
29,Độc_lập,Np,O,76
29,9-Feb,M,O,76
29,"""",CH,O,76
29,được,V,O,76
29,chia,V,O,76
29,thành,V,O,76
29,2,M,O,76
29,phần,N,O,76
29,:,CH,O,76
29,Sức_mạnh,N,O,76
29,dân_tộc,N,O,76
29,và,Cc,O,76
29,Ngày,N,O,76
29,Độc_lập,Np,O,76
29,9-Feb,M,O,76
29,",",CH,O,76
29,trong,E,O,76
29,đó,P,O,76
29,",",CH,O,76
29,không_chỉ,C,O,76
29,có,V,O,76
29,bộ,Nc,O,76
29,quần_áo,N,O,76
29,kaki,Nb,O,76
29,của,E,O,76
29,Bác,Np,O,76
29,",",CH,O,76
29,mà,C,O,76
29,rất,R,O,76
29,nhiều,A,O,76
29,hiện_vật,N,O,76
29,gốc,N,O,76
29,",",CH,O,76
29,hiện_vật,N,O,76
29,quý_hiếm,N,O,76
29,được,V,O,76
29,lựa_chọn,V,O,76
29,từ,E,O,76
29,hơn,A,O,76
29,1.8,M,O,76
29,hiện_vật,N,O,76
29,về,E,O,76
29,cách_mạng_tháng_Tám,N,O,76
29,được,V,O,76
29,lưu_giữ,V,O,76
29,tại,E,O,76
29,Bảo_tàng,N,B-ORG,76
29,Lịch_sử,N,I-ORG,76
29,Quốc_gia,N,I-ORG,76
29,Việt_Nam,Np,I-ORG,76
29,.,CH,O,76
30,Trải,V,O,77
30,qua,V,O,77
30,75,M,O,77
30,năm,N,O,77
30,",",CH,O,77
30,chiếc,Nc,O,77
30,micro,Nb,O,77
30,Chủ_tịch,N,O,77
30,Hồ_Chí_Minh,Np,B-PER,77
30,đọc,V,O,77
30,Tuyên_ngôn,N,O,77
30,Độc_lập,Np,O,77
30,",",CH,O,77
30,2,M,O,77
30,cuốn,Nc,O,77
30,sổ,N,O,77
30,ghi,V,O,77
30,công_việc,N,O,77
30,hàng,R,O,77
30,ngày,N,O,77
30,của,E,O,77
30,Chủ_tịch,N,O,77
30,Hồ_Chí_Minh,Np,B-PER,77
30,",",CH,O,77
30,từ,E,O,77
30,ngày,N,O,77
30,2/9/45,M,O,77
30,đến,E,O,77
30,17/10/1945,M,O,77
30,(,CH,O,77
30,bản,N,O,77
30,viết_tay,V,O,77
30,),CH,O,77
30,",",CH,O,77
30,bản_nhạc,N,O,77
30,bài,N,O,77
30,hát,V,O,77
30,“,Nc,O,77
30,Tiến_quân,Np,O,77
30,ca,N,O,77
30,”,M,O,77
30,do,E,O,77
30,chính,T,O,77
30,nhạc_sĩ,N,O,77
30,Văn_Cao,Np,B-PER,77
30,chép,V,O,77
30,tặng,V,O,77
30,Bảo_tàng,N,O,77
30,",",CH,O,77
30,bản,Nc,O,77
30,Nghị_quyết,N,O,77
30,hội_nghị,N,O,77
30,T.Ư,Ny,O,77
30,8,M,O,77
30,(,CH,O,77
30,viết_tay,V,O,77
30,),CH,O,77
30,…,CH,O,77
30,cũng,R,O,77
30,đã,R,O,77
30,được,V,O,77
30,đưa,V,O,77
30,ra,V,O,77
30,trưng_bày,V,O,77
30,lần,N,O,77
30,này,P,O,77
30,Ngắm,Np,O,77
30,nhìn,V,O,77
30,các,L,O,77
30,hiện_vật,N,O,77
30,tại,E,O,77
30,chuyên_đề,N,O,77
30,“,CH,O,77
30,Ngày,N,O,77
30,Độc_lập,Np,O,77
30,9-Feb,M,O,77
30,”,Nu,O,77
30,",",CH,O,77
30,nhà_sử_học,N,O,77
30,Dương_Trung_Quốc,Np,B-PER,77
30,bày_tỏ,V,O,77
30,:,CH,O,77
30,Bằng,E,O,77
30,các,L,O,77
30,hiện_vật,N,O,77
30,quý,A,O,77
30,",",CH,O,77
30,triển_lãm,V,O,77
30,để,V,O,77
30,lại,R,O,77
30,cho,E,O,77
30,chúng_ta,P,O,77
30,cảm_xúc,N,O,77
30,rất,R,O,77
30,lớn,A,O,77
30,",",CH,O,77
30,đó,P,O,77
30,là,V,O,77
30,cảm_xúc,N,O,77
30,tự_hào,A,O,77
30,khi,N,O,77
30,từ,E,O,77
30,một,M,O,77
30,quốc_gia,N,O,77
30,nô_lệ,N,O,77
30,lại,R,O,77
30,trở_thành,V,O,77
30,quốc_gia,N,O,77
30,độc_lập,A,O,77
30,.,CH,O,77
31,Nhưng,C,O,78
31,triển_lãm,N,O,78
31,cũng,R,O,78
31,giúp,V,O,78
31,thế_hệ,N,O,78
31,hôm_nay,N,O,78
31,đặt,V,O,78
31,ra,V,O,78
31,câu,N,O,78
31,hỏi,V,O,78
31,:,CH,O,78
31,Tại_sao,X,O,78
31,",",CH,O,78
31,Đảng,N,B-ORG,78
31,cộng_sản,N,I-ORG,78
31,Đông_Dương,Np,I-ORG,78
31,lúc,N,O,78
31,ấy,P,O,78
31,chỉ,R,O,78
31,có,V,O,78
31,hơn,A,O,78
31,5,M,O,78
31,nghìn,M,O,78
31,Đảng_viên,N,O,78
31,",",CH,O,78
31,trong,E,O,78
31,số,N,O,78
31,đó,P,O,78
31,rất,R,O,78
31,nhiều,A,O,78
31,Đảng_viên,N,O,78
31,đang,R,O,78
31,bị,V,O,78
31,thực_dân,N,O,78
31,giam_cầm,V,O,78
31,",",CH,O,78
31,nhưng,C,O,78
31,chúng_ta,P,O,78
31,vẫn,R,O,78
31,phát_huy,V,O,78
31,sức_mạnh,N,O,78
31,tập_thể,N,O,78
31,",",CH,O,78
31,giải_phóng,V,O,78
31,giành,V,O,78
31,chính_quyền,N,O,78
31,",",CH,O,78
31,giành,V,O,78
31,độc_lập,N,O,78
31,.,CH,O,78
32,Tại_sao,X,O,79
32,",",CH,O,79
32,trong,E,O,79
32,thời,N,O,79
32,hiện_nay,N,O,79
32,chúng_ta,P,O,79
32,chưa,R,O,79
32,phát_huy,V,O,79
32,được,R,O,79
32,hết,V,O,79
32,sức_mạnh,N,O,79
32,của,E,O,79
32,Đảng,N,O,79
32,cầm_quyền,V,O,79
32,.,CH,O,79
33,Người_dân,N,O,80
33,ngày_nay,N,O,80
33,sống,V,O,80
33,đầy_đủ,A,O,80
33,hơn,A,O,80
33,cha_anh,N,O,80
33,nhưng,C,O,80
33,lại,R,O,80
33,bó_tay,V,O,80
33,trước,E,O,80
33,rất,R,O,80
33,nhiều,A,O,80
33,khó_khăn,N,O,80
33,.,CH,O,80
34,Soi,V,O,81
34,chiếu,N,O,81
34,lịch_sử,N,O,81
34,để,E,O,81
34,thế_hệ,N,O,81
34,hôm_nay,N,O,81
34,răn,V,O,81
34,mình,P,O,81
34,.,CH,O,81
35,TS,Ny,O,82
35,Nguyễn_Văn_Đoàn,Np,B-PER,82
35,-,CH,O,82
35,Giám_đốc,N,O,82
35,Bảo_tàng,N,B-ORG,82
35,Lịch_sử,N,I-ORG,82
35,Quốc_gia,Np,I-ORG,82
35,cho,V,O,82
35,biết,V,O,82
35,:,CH,O,82
35,Thông_qua,V,O,82
35,Trưng_bày,Np,O,82
35,",",CH,O,82
35,Bảo_tàng,N,B-ORG,82
35,Lịch_sử,N,I-ORG,82
35,Quốc_gia,Np,I-ORG,82
35,mong_muốn,V,O,82
35,góp_phần,V,O,82
35,giúp,V,O,82
35,công_chúng,N,O,82
35,",",CH,O,82
35,đặc_biệt,A,O,82
35,là,T,O,82
35,thế_hệ,N,O,82
35,trẻ,A,O,82
35,hiểu,V,O,82
35,rõ,A,O,82
35,hơn,R,O,82
35,về,E,O,82
35,mốc_son,N,O,82
35,lịch_sử,N,O,82
35,Cách_mạng_tháng_Tám,Np,O,82
35,1945,M,O,82
35,",",CH,O,82
35,sức_mạnh,N,O,82
35,đại_đoàn_kết,V,O,82
35,dân_tộc,N,O,82
35,",",CH,O,82
35,giá_trị,N,O,82
35,của,E,O,82
35,độc,N,O,82
35,lập,V,O,82
35,",",CH,O,82
35,tự_do,A,O,82
35,...,CH,O,82
35,từ,E,O,82
35,đó,P,O,82
35,góp,V,O,82
35,sức,N,O,82
35,mình,P,O,82
35,vào,E,O,82
35,công_cuộc,N,O,82
35,xây_dựng,V,O,82
35,đất_nước,N,O,82
35,",",CH,O,82
35,bảo_vệ,V,O,82
35,nền,N,O,82
35,độc_lập,N,O,82
35,",",CH,O,82
35,chủ_quyền,N,O,82
35,và,Cc,O,82
35,toàn_vẹn,N,O,82
35,lãnh_thổ,N,O,82
35,.,CH,O,82
36,Linh_Anh,Np,B-PER,83
37,Tham_dự,V,O,84
37,buổi,N,O,84
37,lễ,N,O,84
37,có,V,O,84
37,cán_bộ,N,O,84
37,",",CH,O,84
37,người_dân,N,O,84
37,trong,N,O,84
37,và,Cc,O,84
37,ngoài,N,O,84
37,tỉnh,N,B-LOC,84
37,An_Giang,Np,I-LOC,84
37,",",CH,O,84
37,cùng,A,O,84
37,đại_diện,N,O,84
37,thân_tộc,N,O,84
37,của,E,O,84
37,Chủ_tịch,N,O,84
37,Tôn_Đức_Thắng,Np,B-PER,84
37,.,CH,O,84
38,Các,L,O,85
38,đại_biểu,N,O,85
